,L,FL,F,FR,R,Turn,Vroom
1,17,16,100,16,16,0,0
2,16,16,100,16,15,0,0
3,16,15,100,17,15,0,0
4,16,15,100,17,14,0,0
5,16,15,100,18,13,0,0
6,15,15,20,19,12,0,0
7,15,14,20,19,11,0,0
8,15,14,20,20,11,0,0
9,15,14,19,100,11,0,0
10,15,14,19,100,12,0,0
11,14,14,19,100,12,0,0
12,14,13,19,100,12,0,0
13,14,13,18,100,12,0,0
14,14,13,18,100,13,0,0
20,12,12,17,100,14,1,0
21,12,12,18,100,14,1,0
22,11,12,20,20,14,1,0
23,11,12,100,19,14,1,0
24,11,12,100,18,14,1,0
25,11,12,100,17,14,1,0
32,12,15,100,14,13,-1,0
33,12,15,100,15,13,-1,0
34,12,14,100,15,13,-1,0
35,12,14,100,16,13,-1,0
36,12,13,100,16,13,-1,0
37,12,13,100,17,13,-1,0
38,12,12,100,18,13,0,0
39,11,12,100,18,13,0,0
40,11,12,100,19,14,0,0
41,11,11,100,19,14,0,0
42,10,11,100,19,14,0,0
43,10,11,100,20,14,0,0
44,10,11,100,20,15,0,0
45,10,10,100,20,15,0,0
46,9,10,100,20,15,0,0
47,9,10,100,100,15,0,0
48,9,9,100,20,15,0,0
49,9,9,100,19,15,0,0
50,8,9,100,19,16,0,0
51,8,8,100,18,16,0,0
52,7,8,100,18,16,0,0
53,7,8,100,17,16,0,0
54,7,7,100,17,16,0,0
55,7,13,100,17,16,0,0
56,7,13,100,18,16,0,0
57,6,13,100,18,16,0,0
58,7,17,100,18,17,-1,0
59,8,12,100,18,17,-1,0
60,9,12,100,17,17,-1,0
61,10,11,100,17,18,-1,0
62,10,11,100,18,17,-1,0
63,10,11,100,19,16,-1,0
64,10,11,100,18,16,-1,0
65,10,10,100,18,16,-1,0
66,11,10,100,100,17,0,0
67,11,9,100,20,17,0,0
68,10,9,100,20,17,0,0
69,10,13,100,20,16,0,0
70,9,13,100,20,16,0,0
71,9,12,100,19,16,0,0
72,8,12,100,19,15,0,0
73,7,12,100,19,15,0,0
74,8,12,100,19,16,0,0
75,8,11,100,19,16,0,0
